question|answer|distractors
What is 3723 * 2719?|10122837|3168, 6810, 5430
What is 3898 * 2328?|9074544|5185, 9102
What is 1185 + 1403?|2588|7534
What is 415 - 7158?|-6743|5107, 1100
What is 1632 * 6724?|10973568|8984, 123, 7941
What is 5058 * 7268?|36761544|8576
What is 9926 - 5343?|4583|1591, 2652, 1837
What is 3590 * 8755?|31430450|5633, 2380, 7266, 662
What is 3451 - 8932?|-5481|812, 4155, 1708, 9225
What is 3242 + 7056?|10298|1451, 8579, 7098, 5474
What is 4196 * 368?|1544128|7613, 1471
What is 8444 - 8193?|251|2307, 1025, 6947, 4711
What is 2485 + 9384?|11869|2057, 571
What is 9149 + 2064?|11213|2658, 2811, 2135
What is 1579 * 2749?|4340671|8488, 3738, 3767, 5740
What is 2671 - 8317?|-5646|1356, 45
What is 7621 * 9315?|70989615|1464, 7415
What is 9544 * 5996?|57225824|8250, 2727, 5671
What is 7784 * 7827?|60925368|3058
What is 9538 + 8230?|17768|8122, 4191
What is 9741 * 2033?|19803453|3639
What is 869 - 7864?|-6995|9560, 2057
What is 220 + 4983?|5203|1752, 9850, 4383
What is 9362 + 5055?|14417|3762, 9427, 1188
What is 745 - 773?|-28|9150, 3174, 118, 447
What is 340 - 5881?|-5541|8128, 7687
What is 6127 * 1535?|9404945|9546, 2595, 6958, 5143
What is 616 + 7005?|7621|3304, 1049, 460, 8670
What is 5908 * 6981?|41243748|6520, 1637, 3878, 445
What is 7455 - 2146?|5309|9642, 5310
What is 6422 + 8739?|15161|3842, 7012, 9686, 9342
What is 6617 - 2700?|3917|9065, 9844, 572
What is 8123 + 1544?|9667|2904, 7324, 5685
What is 1766 - 8087?|-6321|6651, 3635
What is 2874 * 782?|2247468|5577, 8813, 772
What is 5838 * 2944?|17187072|7017, 1666
What is 1244 + 8421?|9665|1925
What is 8258 - 8114?|144|4849
What is 9160 + 183?|9343|8255, 1551
What is 4923 - 4484?|439|6025, 3306, 9387, 1796
What is 9666 - 9234?|432|6241, 7442, 4803, 4105
What is 4635 * 5241?|24292035|4160, 7248, 3247
What is 4256 * 3177?|13521312|2546, 6676, 1114, 9373
What is 8142 + 2198?|10340|8681
What is 2305 * 3372?|7772460|4281, 9212, 566, 4497
What is 3871 - 584?|3287|6312, 7479
What is 6475 + 4885?|11360|5936, 8678
What is 636 + 5711?|6347|760, 4853, 8391
What is 6402 - 2360?|4042|7028, 4556, 9890, 1758
What is 7385 - 280?|7105|500
What is 1967 + 5858?|7825|1190
What is 4517 * 8252?|37274284|8384, 4767, 447
What is 4838 + 6739?|11577|1176, 7514, 4108, 5325
What is 1706 + 67?|1773|7341
What is 3307 - 8622?|-5315|2560, 3369, 6187, 3445
What is 9850 - 2184?|7666|8105, 7651, 9647
What is 7782 - 508?|7274|4352
What is 5559 * 6025?|33492975|2712, 3841
What is 4557 * 8110?|36957270|6019, 7876, 4438
What is 4664 - 2829?|1835|3999
What is 997 + 6887?|7884|1228, 4386, 9611, 2102
What is 8269 + 7172?|15441|3952, 3448
What is 5268 + 2986?|8254|9436
What is 8909 - 1607?|7302|8833, 2514, 3899, 4852
What is 2126 * 6598?|14027348|2072
What is 588 + 4311?|4899|7181
What is 7749 * 8180?|63386820|2837, 9686
What is 7782 + 3111?|10893|2912, 3421
What is 7509 + 1493?|9002|9393, 1564, 7377
What is 8093 + 3641?|11734|7121
What is 9819 - 7987?|1832|8930, 6819
What is 6391 * 9656?|61711496|3325
What is 9978 * 2878?|28716684|908, 9009, 9622, 7303
What is 236 * 8771?|2069956|8082, 8282, 245, 9174
What is 5194 * 2436?|12652584|3266
What is 8406 - 2121?|6285|3336, 3783, 5261
What is 3543 + 5617?|9160|2113, 7530, 4251, 7103
What is 2767 * 7290?|20171430|3879
What is 4377 + 5040?|9417|8122
What is 2296 - 2444?|-148|3628, 1913
What is 6812 * 5326?|36280712|6105, 1006
What is 2995 - 9150?|-6155|9255, 2069, 5215
What is 8111 + 6819?|14930|3033, 2859, 3570
What is 7699 * 6691?|51514009|4432, 2635, 8728
What is 470 * 1419?|666930|8561
What is 3286 + 8005?|11291|9952, 4679
What is 6324 * 490?|3098760|1281, 2505
What is 4752 - 8159?|-3407|7154
What is 3593 + 2207?|5800|4281
What is 3562 * 147?|523614|9273, 9326, 9535
What is 694 * 8237?|5716478|1811, 9404, 390, 2991
What is 265 - 2017?|-1752|2641, 5531, 8093, 9798
What is 2617 - 4202?|-1585|4249
What is 8598 * 6041?|51940518|4887
What is 2678 + 1423?|4101|4346, 5574, 3247
What is 9761 * 7181?|70093741|3604
What is 464 - 4551?|-4087|692
What is 4748 - 2846?|1902|7416
What is 5983 - 6879?|-896|7059, 2949, 813
What is 7164 + 6760?|13924|8692, 5669, 8582
What is 4735 - 9315?|-4580|2537, 3612, 9974
What is 6258 + 6273?|12531|6928, 2845, 9871
What is 6856 * 1490?|10215440|7245, 8781
What is 9904 - 4135?|5769|8610, 3177, 5777
What is 9931 - 950?|8981|8416
What is 6125 * 2246?|13756750|553, 980
What is 3132 + 4614?|7746|6656, 1393, 5860, 9143
What is 8530 + 8048?|16578|4976, 2630
What is 554 - 2278?|-1724|4849, 3953, 8741, 9693
What is 2780 + 8940?|11720|7569, 6499, 6071
What is 6635 * 6681?|44328435|3977, 8525, 3071
What is 5005 * 1099?|5500495|2480, 113, 5024
What is 9159 + 483?|9642|6547, 5892, 2650, 3222
What is 152 * 2397?|364344|6895, 2157, 6351, 5495
What is 7029 * 7005?|49238145|7326
What is 933 + 7981?|8914|9492, 4492, 4823
What is 3151 + 6362?|9513|2176, 6559
What is 1405 + 7222?|8627|4985, 8614
What is 3531 - 5649?|-2118|5816, 5212, 9562
What is 9385 * 6524?|61227740|6425, 3994, 498
What is 6651 - 7178?|-527|9404
What is 251 - 1072?|-821|2592, 673, 2964, 3159
What is 8208 + 726?|8934|8161
What is 6006 - 2233?|3773|3032, 4881, 3171
What is 9674 + 6341?|16015|9655, 8452, 9950
What is 9293 - 7998?|1295|4005, 8466, 572, 4701
What is 966 + 4777?|5743|3, 4386, 3379
What is 1546 * 8260?|12769960|7141, 4663
What is 5582 + 6524?|12106|2537, 7935
What is 7431 + 5648?|13079|6387, 1396, 7254
What is 9892 + 1206?|11098|311
What is 4397 - 7879?|-3482|9784, 8209, 4540, 6663
What is 6416 + 4881?|11297|6515
What is 3929 * 3461?|13598269|1224, 8857, 7006, 7551
What is 8192 - 5531?|2661|4872, 4163
What is 7013 + 5440?|12453|7892, 6330, 4132, 4630
What is 3737 + 4370?|8107|7610, 5316, 418
What is 4703 + 9266?|13969|445
What is 872 - 2200?|-1328|5264
What is 9580 * 1660?|15902800|722, 8347, 2546
What is 310 + 592?|902|6930, 9859, 3042, 8799
What is 2004 + 1986?|3990|2854
What is 1638 - 2248?|-610|6472
What is 7094 * 390?|2766660|5447
What is 1530 + 2962?|4492|281, 2547
What is 797 + 858?|1655|3962, 2927
What is 5426 + 9689?|15115|3994, 2207
What is 7857 * 6341?|49821237|2548
What is 7588 * 3149?|23894612|5440, 41, 384, 5393
What is 6795 - 3917?|2878|3690, 5820
What is 9320 * 9024?|84103680|84
What is 8283 * 6745?|55868835|4729, 8886, 6259
What is 5053 - 8622?|-3569|1042
What is 213 - 7136?|-6923|4698, 2859, 4917, 1639
What is 4065 - 5828?|-1763|7584, 1896, 4795
What is 348 * 5530?|1924440|1016, 5034
What is 1947 + 8613?|10560|3905, 5549, 5601
What is 6448 + 6604?|13052|3337, 2884, 8293, 8353
What is 6827 * 8504?|58056808|209, 4404, 9271
What is 6116 - 3577?|2539|6296, 3949
What is 8711 + 1185?|9896|4559
What is 8979 + 7389?|16368|812, 9090, 8716, 4778
What is 1311 * 9098?|11927478|3073, 8210
What is 376 * 3165?|1190040|6529, 3673, 6920, 8345
What is 8788 - 8393?|395|8342, 2591
What is 5236 + 4591?|9827|1628
What is 4107 * 7723?|31718361|5117
What is 3293 - 6888?|-3595|6206, 2878
What is 1736 + 1091?|2827|6232, 9401
What is 2569 * 1449?|3722481|4778
What is 1303 + 9000?|10303|7751, 8747, 2602, 9342
What is 5622 - 2241?|3381|8552, 1206
What is 308 - 3141?|-2833|4540, 837, 2397
What is 4183 + 4225?|8408|7018, 5348
What is 4441 * 1568?|6963488|6313, 5801
What is 8046 * 7738?|62259948|3656, 8570, 6606
What is 4542 + 7472?|12014|7700, 22
What is 6927 * 4379?|30333333|6302
What is 2585 - 6992?|-4407|7888, 8843, 3299
What is 4928 * 3883?|19135424|8500, 244
What is 9342 * 1186?|11079612|4774
What is 495 - 731?|-236|8148, 8106, 5069, 5278
What is 3868 + 7818?|11686|5562, 3452, 5382, 2119
What is 4420 + 9665?|14085|4347, 8391, 5221
What is 6001 + 5754?|11755|3394
What is 1550 - 4941?|-3391|2033
What is 7747 * 8841?|68491227|4619, 1914
What is 4742 + 1511?|6253|6080, 5331, 9996
What is 3654 - 1269?|2385|6697
What is 2638 * 9502?|25066276|9083, 9140, 2995
What is 4332 * 402?|1741464|3770, 9484
What is 1898 - 9222?|-7324|9225, 4492, 4574
What is 3878 + 1185?|5063|7018
What is 3779 + 2600?|6379|4257, 6412, 5223, 3687
What is 3720 + 6986?|10706|134, 3999
What is 6212 * 4089?|25400868|3603
What is 2772 - 8049?|-5277|3760, 3659, 9404, 877
What is 1846 - 7925?|-6079|4794, 3043, 1439, 2071
What is 8842 + 9594?|18436|1449, 490, 5884, 8198
What is 1115 + 4658?|5773|5746, 1515, 4102, 5623
What is 4219 - 3598?|621|7363
What is 2750 - 9965?|-7215|1504, 1213
What is 7610 + 1157?|8767|2642, 6871
What is 8411 + 4038?|12449|1760, 4426, 8500
What is 3279 + 5372?|8651|3960, 9986, 7004, 9155
What is 4019 - 1160?|2859|9672, 104, 4084, 582
What is 2602 * 6728?|17506256|424, 7897
What is 5202 - 265?|4937|6121
What is 2699 + 4470?|7169|2505
What is 2433 - 4568?|-2135|9515
What is 951 * 621?|590571|9465, 9318
What is 5928 + 2295?|8223|9860
What is 2614 - 5865?|-3251|2928, 6180
What is 2011 + 5667?|7678|9544, 5121
What is 4222 - 3110?|1112|1129, 5783
What is 1270 - 3397?|-2127|1504, 6239
What is 8312 + 9163?|17475|6202, 738, 6006, 7415
What is 7605 - 561?|7044|8953, 3375
What is 2153 - 3794?|-1641|6153, 8263, 7853, 1869
What is 9506 - 3739?|5767|3797, 1346, 2541, 110
What is 8709 + 249?|8958|1881, 4563
What is 8791 + 6758?|15549|6761, 3935, 9133
What is 9476 + 2548?|12024|7488, 5280, 7409
What is 237 + 2668?|2905|113
What is 9247 - 7413?|1834|7137
What is 3841 * 1149?|4413309|6126, 8342
What is 8270 + 295?|8565|6840
What is 3401 * 5205?|17702205|4795
What is 2192 * 4888?|10714496|7122, 5604, 9997, 5685
What is 7720 - 5632?|2088|1172
What is 9452 * 3520?|33271040|8704, 9713, 1749, 9885
What is 6077 + 6919?|12996|4300, 8954, 4470, 4881
What is 687 * 3293?|2262291|5117
What is 8714 * 9464?|82469296|9763, 4286
What is 1567 - 9985?|-8418|7920, 7946
What is 6693 - 9639?|-2946|1777, 8498
What is 3711 * 6534?|24247674|7804, 4962, 9238
What is 5640 - 9304?|-3664|9400, 232
What is 7140 * 3178?|22690920|7632, 4755, 1155, 6304
What is 7189 + 2237?|9426|9925, 8741
What is 6480 - 975?|5505|9642, 5901, 3550
What is 1728 * 9435?|16303680|3193, 3644
What is 6771 * 2758?|18674418|5136, 6764, 4847
What is 7626 - 2396?|5230|776, 5435, 7007, 6567
What is 2400 - 7013?|-4613|238
What is 4208 * 5226?|21991008|2153, 8295, 485, 7797
What is 8191 + 7496?|15687|5328
What is 7735 - 3329?|4406|2459, 4300, 8415
What is 7146 + 1142?|8288|6808, 356, 2103
What is 8899 - 2195?|6704|5161, 9313
What is 7708 * 7531?|58048948|9181, 4255, 3093, 9879
What is 1013 + 7163?|8176|8963
What is 8019 + 2574?|10593|7868
What is 9204 * 3804?|35012016|8570, 9495, 1591
What is 5459 - 8305?|-2846|9544, 9625, 9102, 3247
What is 9159 + 1960?|11119|9706, 9460
What is 6563 - 4417?|2146|2105, 7339, 3125, 3503
What is 5852 * 7635?|44680020|8780, 4778
What is 1866 + 8017?|9883|6831
What is 2549 * 1882?|4797218|7279
What is 5790 - 9945?|-4155|8649
What is 5426 - 2619?|2807|7680, 4881, 3859, 6509
What is 1121 - 6630?|-5509|3804, 5412, 7846, 3001
What is 1780 * 5922?|10541160|5352, 1112, 9719
What is 8704 * 2325?|20236800|4884
What is 3605 * 2309?|8323945|534, 3087
What is 7707 * 2578?|19868646|664, 6251, 9774, 9287
What is 2192 - 9387?|-7195|1600, 8416, 6660
What is 263 - 694?|-431|136, 9583, 8254, 3495
What is 5583 - 2640?|2943|7098
What is 6552 + 4262?|10814|7768, 8001
What is 1764 + 7573?|9337|7187, 7867, 7773, 6529
What is 2014 * 3077?|6197078|8704, 6122, 9342, 3413
What is 774 + 9746?|10520|8046
What is 7007 * 5385?|37732695|5050
What is 9671 + 9899?|19570|1523, 8506
What is 2057 + 6273?|8330|8856, 4633, 1804, 8901
What is 2793 - 9314?|-6521|1375, 3999
What is 5530 + 9322?|14852|8257, 3219
What is 9249 + 646?|9895|4858, 9683, 9302
What is 9520 + 4290?|13810|2912, 513, 3743, 8255
What is 7330 - 7883?|-553|4640, 7296, 2034, 66
What is 3276 + 7603?|10879|8168, 6945
What is 4203 - 3159?|1044|3744
What is 4417 - 7266?|-2849|6997, 5630
What is 4571 - 2796?|1775|8244
What is 4960 + 7642?|12602|7628, 9596, 1966
What is 9501 - 1733?|7768|8033, 8864, 8356
What is 3973 - 5473?|-1500|3824, 6484
What is 6146 + 9665?|15811|8250, 2079
What is 4263 * 6166?|26285658|5243
What is 5392 + 2153?|7545|3227, 533, 7902, 9655
What is 7038 * 951?|6693138|6546
What is 7496 - 4924?|2572|7564, 98, 67
What is 1118 * 9515?|10637770|7586, 3954, 4119
What is 3351 - 9584?|-6233|8765
What is 572 - 8323?|-7751|7898, 9324, 2783
What is 5790 - 1621?|4169|1106, 4833, 3281
What is 6014 + 1436?|7450|6020, 9359
What is 7449 * 4079?|30384471|4553, 5230
What is 4226 + 1855?|6081|6871, 3643, 7121
What is 8899 - 6407?|2492|3280, 4585, 5306, 2672
What is 9034 + 5023?|14057|4489
What is 3520 + 4751?|8271|1325, 6380, 9661
What is 2603 + 5597?|8200|7051, 1428, 366
What is 6297 - 6764?|-467|8006
What is 7282 - 7004?|278|195, 6101, 9591
What is 7307 * 4809?|35139363|8953, 5858, 1573
What is 3728 + 3867?|7595|2736
What is 4147 + 5096?|9243|6667, 403
What is 2291 + 7218?|9509|9083, 7363, 1350
What is 2736 + 7579?|10315|7091
What is 4153 - 3813?|340|4776, 41
What is 2303 * 4039?|9301817|3698, 2886
What is 3019 * 302?|911738|6080, 3377
What is 1028 * 1125?|1156500|3519
What is 3689 - 4143?|-454|3219, 8930
What is 4409 * 2018?|8897362|2780
What is 4198 - 2790?|1408|7969
What is 4392 - 560?|3832|9146, 6831, 701, 2591
What is 8508 - 3513?|4995|713, 9583, 1815
What is 6665 * 403?|2685995|3080, 7780
What is 7777 - 6307?|1470|6026, 5475, 4005
What is 827 * 5831?|4822237|2957, 3783, 7486, 2511
What is 7973 - 3004?|4969|2354, 7868, 725
What is 5410 + 7625?|13035|7757, 3767
What is 5022 + 1514?|6536|3993, 4746, 427
What is 1639 - 2524?|-885|9449, 8931, 3182, 3713
What is 2972 * 6477?|19249644|9486
What is 9676 - 5494?|4182|3024, 195, 5877
What is 281 + 6463?|6744|9859
What is 1586 - 2827?|-1241|5706, 3628, 594
What is 839 - 7254?|-6415|5738, 2151, 9399, 4993
What is 1339 - 2139?|-800|7313, 813, 2798, 9397
What is 2341 + 9639?|11980|3128, 4209
What is 9195 * 8974?|82515930|3954
What is 2064 * 6675?|13777200|314
What is 7508 - 9177?|-1669|3751, 8917, 5055
What is 7142 - 2506?|4636|840, 2219, 1183
What is 5394 + 6770?|12164|9082
What is 9701 + 3574?|13275|857, 3818, 4345
What is 324 + 556?|880|2489, 6033, 7902, 6583
What is 372 - 2147?|-1775|3238, 1350
What is 1792 + 394?|2186|2033
What is 5222 - 5257?|-35|8424, 339, 3652, 3318
What is 9382 - 9515?|-133|8456, 5290, 566
What is 1694 * 3481?|5896814|3291, 2093
What is 4480 * 6645?|29769600|3467, 8852
What is 2597 + 7353?|9950|4803, 1875, 2174
What is 4802 + 7089?|11891|1768, 9049, 9974, 2377
What is 8702 * 6261?|54483222|6928, 6947, 4583
What is 7246 - 7451?|-205|6338, 7006, 710, 670
What is 3006 + 8439?|11445|6641, 5889, 2749
What is 7040 + 407?|7447|1416, 2271
What is 3904 * 4256?|16615424|6746
What is 3311 - 43?|3268|1923
What is 4664 - 376?|4288|6377, 4824, 885, 8149
What is 6070 + 8865?|14935|8601, 9497, 7038, 526
What is 8008 + 9534?|17542|5387, 9191
What is 449 - 4885?|-4436|5169, 9886, 2926, 7383
What is 141 * 8412?|1186092|1788, 9069, 4159
What is 8046 - 7673?|373|3253, 1351, 2131, 4255
What is 8158 - 5266?|2892|7832, 7973, 8687
What is 7079 * 9476?|67080604|6048, 593, 7130
What is 6450 + 2477?|8927|9618, 7547, 4755, 4346
What is 2640 + 4807?|7447|1734
What is 5973 * 4046?|24166758|8256, 3721, 4370, 4180
What is 4808 + 6381?|11189|1248
What is 8484 * 6177?|52405668|8564, 7644, 7729, 5721
What is 8850 - 2435?|6415|800, 7255, 4299
What is 7004 * 3158?|22118632|5202
What is 6925 * 99?|685575|4520, 2028
What is 3308 - 9522?|-6214|3410, 5167
What is 5678 - 917?|4761|3352, 9700, 8836, 5221
What is 7045 - 5066?|1979|657, 8916, 3247
What is 5398 + 7483?|12881|4776, 4532, 3364, 6391
What is 1883 * 1665?|3135195|6729, 4108, 1733, 4377
What is 6348 - 5088?|1260|8500, 275, 8853
What is 2007 * 5178?|10392246|2102, 251, 9125, 287
What is 2384 + 6520?|8904|5897, 4603, 6352, 1287
What is 1435 - 5199?|-3764|9547, 2547, 9621, 6107
What is 5457 - 5057?|400|5432
What is 6598 + 2094?|8692|643, 3397, 230
What is 5509 + 5390?|10899|1329, 3610, 356
What is 4562 * 490?|2235380|4700, 9092
What is 1257 - 8210?|-6953|1467
What is 5951 + 8856?|14807|1152, 8242, 8444
What is 7011 - 6737?|274|3881, 502
What is 6748 - 5362?|1386|7740, 4423
What is 61 + 5888?|5949|9042, 8371, 3918
What is 9971 * 771?|7687641|7696, 5555
What is 1164 - 8167?|-7003|8808, 473, 8351
What is 8897 * 9431?|83907607|690
What is 9288 + 8750?|18038|1975
What is 3063 + 2600?|5663|4792, 6089, 7098
What is 8261 - 1094?|7167|1733, 4893, 4469, 1622
What is 4787 + 6526?|11313|3491, 340
What is 5050 - 5184?|-134|3420
What is 3685 - 999?|2686|1241, 5098, 8719
What is 2451 * 8904?|21823704|2889, 2546, 6979, 9726
What is 1574 + 5301?|6875|8400, 8594, 2071
What is 8048 - 9037?|-989|4038
What is 4199 - 2221?|1978|8227
What is 3014 - 7362?|-4348|6522, 3410
What is 3380 * 7151?|24170380|3904, 492
What is 3408 - 2157?|1251|4317, 4293
What is 9839 - 235?|9604|5544, 7318
What is 3049 - 5421?|-2372|9700, 9194
What is 7821 - 4753?|3068|2647
What is 7811 - 8043?|-232|3452, 3070
What is 8738 + 2313?|11051|527
What is 6819 + 505?|7324|577, 498, 8151
What is 3974 + 5661?|9635|6153, 5422, 9270
What is 7566 * 8788?|66490008|9912, 4702
What is 8021 * 449?|3601429|9235, 6083
What is 5031 - 5008?|23|596, 886
What is 4670 + 9099?|13769|6134, 9233
What is 739 - 6745?|-6006|6961, 7884
What is 8884 + 3003?|11887|5224, 7212, 4654
What is 7114 + 5243?|12357|3304
What is 5090 - 8432?|-3342|2578, 4430, 2245, 7366
What is 2078 * 8967?|18633426|6996, 9018
What is 9665 * 1458?|14091570|5856, 2482
What is 4546 * 2282?|10373972|7714, 3355
What is 4933 + 3554?|8487|5577
What is 297 - 2646?|-2349|736, 6757, 8035
What is 5344 + 7837?|13181|2054, 286
What is 1071 - 6393?|-5322|6177, 6773, 5943
What is 2001 + 5826?|7827|4980, 901, 9991
What is 7449 * 3660?|27263340|9688
What is 1229 + 2100?|3329|1698, 5510, 5783
What is 5732 * 4089?|23438148|4581
What is 8293 + 6859?|15152|635, 7683, 1507, 4695
What is 7171 - 2613?|4558|6091, 1692, 5541
What is 6825 * 8450?|57671250|8136, 6332, 9949
What is 6359 + 9150?|15509|169
What is 8120 - 181?|7939|4698, 1735
What is 1893 + 1920?|3813|345, 6989
What is 6690 + 7582?|14272|6153, 9882, 3868
What is 707 + 6848?|7555|4217, 6989
What is 8820 * 2529?|22305780|8888, 762, 7643, 2765
What is 368 * 9366?|3446688|4000, 9274, 1943, 383
What is 8843 + 6568?|15411|3883, 3196
What is 9355 - 9915?|-560|6001, 6811, 7653, 1071
What is 8226 - 3034?|5192|7091, 8468, 7343
What is 8856 - 6675?|2181|4420
What is 5595 * 5365?|30017175|8661, 7941, 2174
What is 8162 + 8233?|16395|1600, 3772, 6140, 5943
What is 3866 * 8029?|31040114|5284, 6434, 7238
What is 2105 - 4855?|-2750|3436
What is 3828 - 4748?|-920|2205
What is 7536 - 3720?|3816|4335, 447
What is 5504 - 3109?|2395|6368
What is 9273 + 6224?|15497|7282, 8299, 8749, 9329
What is 8981 + 6311?|15292|6487
What is 8756 * 7767?|68007852|1496, 4633, 467, 9069
What is 1894 * 1221?|2312574|450, 4714, 2854, 550
What is 8601 - 3239?|5362|2864, 300, 3276, 7365
What is 7754 * 9922?|76935188|7285
What is 1054 - 8641?|-7587|1164, 2245
What is 6184 + 9531?|15715|5852
What is 4620 - 886?|3734|2760, 3941
What is 7142 * 4833?|34517286|5264, 5089, 8171, 5299
What is 4817 - 9673?|-4856|6304, 9054, 1933, 9222
What is 696 - 5681?|-4985|3234, 4293, 7166
What is 3748 - 6713?|-2965|1513, 8699
What is 8664 - 4416?|4248|314
What is 2122 + 8327?|10449|4482, 4611
What is 1487 + 6480?|7967|9643
What is 8050 * 7082?|57010100|9388, 6642, 9838
What is 3171 - 8897?|-5726|5258
What is 7811 + 9158?|16969|4159
What is 8707 * 2165?|18850655|5956
What is 6973 * 4855?|33853915|3244, 7094, 6566, 7582
What is 2366 * 4878?|11541348|7756, 6466
What is 1204 - 7796?|-6592|1069
What is 7579 - 5366?|2213|2552, 9703, 8415, 7773
What is 5545 - 5677?|-132|4929, 6083, 2219, 3726
What is 6522 - 4157?|2365|1800, 7572, 6340
What is 6197 + 6364?|12561|7196, 8197, 9470
What is 4234 + 447?|4681|7593
What is 6588 * 7131?|46979028|8283, 3709, 9910
What is 23 * 2240?|51520|8368, 5955, 1923
What is 5352 * 4226?|22617552|8648, 3512, 9849
What is 590 + 5711?|6301|4864, 7298, 7004, 5214
What is 2448 - 4142?|-1694|9634
What is 8047 - 7205?|842|6871
What is 3653 * 2260?|8255780|8681, 1709, 5759
What is 7677 + 5144?|12821|2571, 6628
What is 9985 * 9244?|92301340|4515
What is 1466 * 4169?|6111754|7380, 8722
What is 3958 * 2283?|9036114|3120
What is 8088 * 1289?|10425432|2268, 2258, 9900
What is 7515 * 3578?|26888670|5577, 5342
What is 2683 + 8430?|11113|710, 4461, 1142, 8849
What is 5037 + 6608?|11645|1032, 831, 1452, 661
What is 4939 * 3503?|17301317|7683, 869, 4965
What is 1239 * 2936?|3637704|2033
What is 2771 + 2896?|5667|2051, 90, 5492
What is 1814 * 2304?|4179456|7016, 8323
What is 7177 + 6725?|13902|8184, 5390, 3701, 6399
What is 8191 + 1130?|9321|4480, 3721, 5200, 8817
What is 8031 * 1340?|10761540|7571, 6094, 9103
What is 6853 - 9492?|-2639|339, 5922, 1467
What is 5099 + 5698?|10797|2273
What is 4348 * 5813?|25274924|5921, 2297
What is 7128 - 2681?|4447|5656, 7884, 8990
What is 3228 * 7001?|22599228|3552, 1994, 5221
What is 799 - 8938?|-8139|5976, 5601, 1715
What is 9286 - 4958?|4328|1288, 2530
What is 5575 + 6084?|11659|3579, 5927
What is 6082 - 2731?|3351|4722, 7238, 4074, 4142
What is 5944 + 6070?|12014|1702, 3253
What is 3323 - 4749?|-1426|2061
What is 1250 * 9270?|11587500|2552, 9208, 7079
What is 7751 - 4319?|3432|1551
What is 5546 - 6945?|-1399|5432, 366, 9943
What is 5688 + 8230?|13918|6792, 8218
What is 3514 * 2203?|7741342|36, 8549
What is 5349 * 9788?|52356012|9442, 9339
What is 5766 * 4311?|24857226|9405, 6462
What is 3021 + 1915?|4936|7766
What is 2769 + 2010?|4779|6667, 3373
What is 6355 - 6713?|-358|2721, 7262
What is 8064 * 3054?|24627456|6786, 6284
What is 79 - 4199?|-4120|6210
What is 1352 - 9420?|-8068|1989, 5629, 5287
What is 62 * 5655?|350610|4309, 6399
What is 5491 - 1765?|3726|9436, 9634, 5508
What is 6088 + 1174?|7262|6788, 1895
What is 8368 - 6975?|1393|9765, 5774
What is 25 * 4675?|116875|8436, 2478, 670
What is 113 * 5457?|616641|64, 5299
What is 4342 * 6761?|29356262|1444, 5948, 8983
What is 2835 + 5886?|8721|6873
What is 9648 * 60?|578880|577, 4474, 5808, 2714
What is 9728 - 2497?|7231|8833, 5018, 3635, 7343
What is 2598 * 8906?|23137788|3276, 4986, 5451, 6985
What is 1407 - 9205?|-7798|5521, 8939, 1962
What is 2096 - 7558?|-5462|1745, 6612, 5404, 6381
What is 9316 + 7637?|16953|3233
What is 1216 * 2392?|2908672|8988, 9493, 5870
What is 3726 + 5058?|8784|799, 4555, 2263
What is 2784 + 3865?|6649|9546, 5532, 3789, 8169
What is 6509 - 562?|5947|1223
What is 3158 + 6914?|10072|1086
What is 4402 - 9561?|-5159|8041
What is 1127 - 1927?|-800|9265, 5822, 2230, 1279
What is 5699 * 1411?|8041289|9554, 2755
What is 2139 + 9785?|11924|2928, 6363, 6011
What is 1663 + 6646?|8309|8402
What is 3518 - 6621?|-3103|5744
What is 9539 - 360?|9179|7700
What is 7828 - 1973?|5855|3464, 2658, 5612, 3690
What is 6190 + 9800?|15990|8456
What is 1440 * 9337?|13445280|1850, 5851, 773
What is 6146 + 6822?|12968|7202, 6700, 2186, 6583
What is 1365 + 1043?|2408|3209, 7505
What is 9553 - 4653?|4900|4209, 4563, 9633, 9167
What is 6139 + 1813?|7952|9800, 9466, 9272
What is 9873 + 9385?|19258|6831
What is 1989 - 7110?|-5121|6484
What is 818 + 4952?|5770|7984, 1299, 9348, 6567
What is 7696 * 896?|6895616|3590
What is 736 - 5558?|-4822|700, 9901
What is 4754 * 8990?|42738460|8875, 6358
What is 9789 * 9726?|95207814|1008, 6057, 9301, 1029
What is 92 - 5100?|-5008|952, 4933, 2095
What is 8716 - 9214?|-498|137, 5123, 8197, 5921
What is 2519 + 1577?|4096|6057, 6129, 5879
What is 8320 + 8825?|17145|4464, 1426, 6923
What is 9800 - 9356?|444|184, 4105, 9942, 1921
What is 9529 - 2650?|6879|9771, 6387, 9139, 9769
What is 993 - 5848?|-4855|7116, 6374, 110, 2783
What is 4228 - 7309?|-3081|2679, 2691, 1901
What is 4329 + 4086?|8415|7082, 7835, 9699, 8155
What is 2586 - 8689?|-6103|1994, 2764, 609
What is 7649 * 309?|2363541|8737, 4073
What is 2564 * 5095?|13063580|8680, 2057, 6422
What is 6450 + 7892?|14342|4702, 8623
What is 1049 + 2776?|3825|932, 6868, 1635, 9883
What is 9459 - 8289?|1170|7947, 7012, 6282
What is 9580 - 4757?|4823|7053
What is 4556 - 5072?|-516|6210
What is 9744 + 4537?|14281|2802, 7867, 7505
What is 7266 * 6179?|44896614|4498
What is 9530 - 9574?|-44|6526
What is 183 - 7273?|-7090|559, 9079
